term,language,classification,tier,file,surface,context,occurrences,customer_importance,ru_proposal,ro_proposal,english_once,owner_decision_required,tier_1_reason,decision_critical,conversion_risk,first_time_owner_comprehension,notes
"P&L","RO","B","1","ro/business-control-system.html ro/capacity-released.html ro/cases.html","META OPEN_GRAPH TWITTER JSON_LD PROSE CARD TITLE CTA BUTTON","Business Control System — sistemul de management al afacerii prin cifre: P&L, Cash Flow, trezorerie, KPI, Power BI și regulamente. De la 5 000 €, termen 1–3 lun","114","CRITICAL","Отчёт о прибыли и убытках","Cont de profit și pierdere","YES","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","YES","HIGH","FAIL","short repeat form: Прибыль и убытки / Profit și pierdere"
"P&L","RU","B","1","business-control-system.html capacity-released.html cash-flow.html","META OPEN_GRAPH TWITTER JSON_LD PROSE TITLE","Business Control System — система управления бизнесом через цифры: P&L, Cash Flow, казначейство, KPI, Power BI и регламенты. От 5 000 €, срок 1–3 месяца.","63","CRITICAL","Отчёт о прибыли и убытках","Cont de profit și pierdere","YES","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL","short repeat form: Прибыль и убытки / Profit și pierdere"
"Cash Flow","RU","B","1","business-control-system.html cash-flow.html fcf-postavshiki.html","META OPEN_GRAPH TWITTER JSON_LD","Business Control System — система управления бизнесом через цифры: P&L, Cash Flow, казначейство, KPI, Power BI и регламенты. От 5 000 €, срок 1–3 месяца.","53","CRITICAL","Денежный поток","Flux de numerar","YES","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL","the single most common term on the site"
"Cash Flow","RO","B","1","ro/business-control-system.html ro/cash-flow.html ro/fcf-postavshiki.html","META OPEN_GRAPH TWITTER JSON_LD","Business Control System — sistemul de management al afacerii prin cifre: P&L, Cash Flow, trezorerie, KPI, Power BI și regulamente. De la 5 000 €, termen 1–3 lun","53","CRITICAL","Денежный поток","Flux de numerar","YES","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL","the single most common term on the site"
"Discovery Call","RU","B","1","ai-dlya-cfo.html business-control-system.html capacity-released.html","BUTTON PROSE CTA","Начните с финансового рентгена. Дальше — Discovery Call, диагностика, внедрение системы и регулярный финансовый контроль. BI/ИИ — дополнительный модуль после фу","39","CRITICAL","Первичный финансовый разбор","Discuție financiară inițială","YES","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","YES","HIGH","FAIL","the CTA a customer books"
"Discovery Call","RO","B","1","ro/ai-dlya-cfo.html ro/business-control-system.html ro/capacity-released.html","BUTTON PROSE CTA","Începeți cu Testul financiar FINMENTOR. Apoi — Discovery Call, diagnostic, implementarea sistemului și control director financiar regulat. BI/IA — modul suplime","39","CRITICAL","Первичный финансовый разбор","Discuție financiară inițială","YES","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","YES","HIGH","FAIL","the CTA a customer books"
"CFO","RO","A","1","ro/ai-agent-economics.html ro/ai-dlya-cfo.html ro/fcf-postavshiki.html","JSON_LD OPEN_GRAPH TWITTER META ARIA","Modelul CFO FINMENTOR pentru controlul financiar al muncii digitale: Full Cost, costul unui rezultat acceptat, costul aceluiași rezultat la om, randamentul inve","29","CRITICAL","Финансовый директор","Director financiar","NO","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL",""
"Business Control System","RU","E","1","ai-dlya-cfo.html business-control-system.html cases.html","PROSE TITLE META OPEN_GRAPH TWITTER JSON_LD","Business Control System","26","CRITICAL","Система управления бизнесом","Sistem de management al afacerii","YES","YES","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL","MODULE — appears on the homepage"
"Business Control System","RO","E","1","ro/ai-dlya-cfo.html ro/business-control-system.html ro/cases.html","PROSE TITLE META OPEN_GRAPH TWITTER JSON_LD","Business Control System","26","CRITICAL","Система управления бизнесом","Sistem de management al afacerii","YES","YES","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL","MODULE — appears on the homepage"
"CFO","RU","A","1","ai-dlya-cfo.html index.html materials.html","OPEN_GRAPH TWITTER JSON_LD META ARIA","ИИ для CFO — автоматизация отчётности, контроля и аналитики | FINMENTOR","19","CRITICAL","Финансовый директор","Director financiar","NO","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL",""
